Client Name,Client ID,Ticker,Security Name,Asset Class,Net Purchase Value (Reporting Currency),Realized Gain/Loss (Reporting Currency),Current Value (Reporting Currency),Weightage (%),Dividend Paid (Reporting Currency),XIRR (Reporting Currency),Total Units,Average Purchase Value
Client 123,client123@gmail.com,NYSEARCA:IEMG,ISHARES CORE MSCI EMERGING MARKETS ETF,Equity,29722.5,0,29502,22.49%,639.65,4.95%,550,54.04
Client 123,client123@gmail.com,NYSEARCA:IAUM,iShares Gold Trust Micro,Gold,73878.8,0,80640,61.46%,0,33.73%,2800,26.39
Client 123,client123@gmail.com,NYSE:CCI,Crown Castle,REITs,"9,430.40",0,"7,881.60",3.81%,125.2,-28.91%,80,117.88
Client 123,client123@gmail.com,NYSEARCA:IXC,iShare Global Energy ETF,Equity,"11,337.04",0,"11,254.10",5.44%,241.67,2.95%,286,39.64
Client 123,client123@gmail.com,NYSEARCA:VTV,Vanguard Value ETF,Equity,"16,932.96",0,"17,057.70",8.25%,187.51,3.88%,99,171.04
Client 123,client123@gmail.com,NYSEARCA:VOOV,Vanguard S&P 500 Value ETF,Equity,0,-352.8,0,0.00%,132.24,-5.61%,0,0
Client 123,client123@gmail.com,LON:IB01,iShs $ Trs Bd 0-1y ETF USD A,Debt,"47,691.52",369.6,"48,700.64",23.56%,0,4.42%,424,112.48
Client 123,client123@gmail.com,LON:IBTA,iShs $ Treas Bd 1-3 Year Treasury bond ETF,Debt,"41,857.76",0,"42,453.60",20.54%,0,2.97%,7448,5.62
Client 123,client123@gmail.com,NYSEARCA:IAUM,iShs Gold Trust Micro,Gold,29511.68,0,32601.6,15.77%,0,28.65%,1132,26.07
Client 123,client123@gmail.com,LON:HMAD,HSBC MSCI AC Far East ex Japan UCITS ETF,Equity,26275,0,26610,12.87%,0,3.61%,500,52.55
Client 123,client123@gmail.com,NASDAQ:UAE,iShares MSCI UAE ETF,Equity,"8,044.80",0,"7,972.80",3.86%,0,-5.65%,480,16.76
Client 123,client123@gmail.com,NYSEARCA:IHE,iShares US Pharmaceutical ETF,Equity,0,-25.8,0,0.00%,0,-56.24%,0,0
Client 123,client123@gmail.com,NYSEARCA:IXJ,iShares Global Healthcare ETF,Equity,"11,519.64",0,"12,200.76",5.90%,0,46.00%,132,87.27
Client 456,client456@gmail.com,NYSE:RDY,Dr Reddy,Equity,0,1402.79,0,0.00%,72.33,19.72%,0,0
Client 456,client456@gmail.com,NYSE:EXR,Extra Space Storage Inc,REITs,0,7360.08,0,0.00%,884.52,40.23%,0,0
Client 456,client456@gmail.com,BATS:AAAU,Goldman Sachs Phys Gold ETF,Gold,24117.55,18661.94,28520,11.48%,0,26.18%,1000,24.12
Client 456,client456@gmail.com,NASDAQ:GOOGL,Google,Equity,0,2601.26,0,0.00%,45.2,23.61%,0,0
Client 456,client456@gmail.com,NYSEARCA:IXC,iShares Global Energy ETF,Equity,0,"-4,677.91",0,0.00%,"1,248.66",-11.28%,0,0
Client 456,client456@gmail.com,LON:IBTA,iShs $ Treas Bd 1-3y ETF USD A,Debt,0,4648.65,0,0.00%,0,6.39%,0,0
Client 456,client456@gmail.com,LON:IB01,iShs $ Trs Bd 0-1y ETF USD A,Debt,"2,09,844.64","2,744.95","2,19,842.04",88.52%,0,4.89%,1914,109.64
Client 456,client456@gmail.com,LON:EMVL,iShs Edg MSCI EMValFctrETFUSDA,Equity,0,"12,532.11",0,0.00%,0,13.93%,0,0
Client 456,client456@gmail.com,BATS:INDA,iShs MSCI India ETF,Equity,0,"2,754.16",0,0.00%,415.76,8.46%,0,0
Client 456,client456@gmail.com,NASDAQ:MSFT,Microsoft,Equity,0,"1,477.84",0,0.00%,63,20.59%,0,0
Client 456,client456@gmail.com,NYSEARCA:VOOV,Vanguard S&P 500 Value ETF,Equity,0,5678.56,0,0.00%,509.24,23.60%,0,0
Client 456,client456@gmail.com,NYSEARCA:VTV,Vanguard Value ETF,Equity,0,6097.58,0,0.00%,959.32,18.74%,0,0
Client 789,client789@gmail.com,BATS:ICSH,Blackrock Ultra Short Term Bond ETF,Debt,"3,06,487.97",138.51,"3,07,263.32",33.08%,"6,594.09",5.55%,6076,50.44
Client 789,client789@gmail.com,NASDAQ:SHY,iShs $ Treas Bd 1-3 Year Treasury bond ETF,Debt,"86,388.68",0,"86,821.56",9.35%,"2,526.71",4.78%,1052,82.12
Client 789,client789@gmail.com,NASDAQ:IGSB,iShs 1-5 Year Investment Grade Corporate Bond ETF,Debt,"74,959.65",52.98,"75,951.00",8.18%,"2,747.91",5.77%,1455,51.52
Client 789,client789@gmail.com,BATS:HYDB,iShs High Yield SYS Bond ETF,Debt,0,611.79,0,0.00%,2994.2,9.17%,0,0
Client 789,client789@gmail.com,NYSEARCA:HYG,iShs IBOXX High Yield Corporate bond ETF,Debt,0,761.9,0,0.00%,2458.41,9.36%,0,0
